Head_Status,Head_X,Head_Y,Head_Z,ShoulderCenter_Status,ShoulderCenter_X,ShoulderCenter_Y,ShoulderCenter_Z,ShoulderLeft_Status,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ElbowLeft_Status,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_Status,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_Status,HandLeft_X,HandLeft_Y,HandLeft_Z,ShoulderRight_Status,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ElbowRight_Status,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_Status,WristRight_X,WristRight_Y,WristRight_Z,HandRight_Status,HandRight_X,HandRight_Y,HandRight_Z,Time
Tracked,0.317071,0.295123,1.401538, Tracked,0.3504484,0.107726,1.491614, Tracked,0.1710558,0.03655038,1.539651, Tracked,0.09736836,-0.1647508,1.521865, Tracked,0.04682328,-0.3134351,1.402688, Inferred,0.04073122,-0.3446434,1.348716, Tracked,0.517423,0.01845913,1.466036, Tracked,0.5643315,-0.1960098,1.430194, Tracked,0.4548653,-0.3137244,1.217391, Inferred,0.4183766,-0.3529626,1.150166, 00:00:00.405
Tracked,0.3170763,0.295125,1.401551, Tracked,0.3504064,0.1077472,1.49164, Tracked,0.1710488,0.03655595,1.539657, Tracked,0.09696508,-0.1645469,1.522012, Tracked,0.04736065,-0.3135475,1.402835, Inferred,0.0411514,-0.3448381,1.348927, Tracked,0.5174251,0.0184604,1.466035, Tracked,0.5643677,-0.1959872,1.430289, Tracked,0.4548665,-0.3139462,1.217649, Inferred,0.4183662,-0.3532658,1.150478, 00:00:00.441
Tracked,0.3170463,0.2951652,1.401582, Tracked,0.3504059,0.1077553,1.491638, Tracked,0.1710477,0.03655675,1.53967, Tracked,0.09676038,-0.1642407,1.522134, Tracked,0.04769155,-0.3134782,1.403041, Inferred,0.04145209,-0.344813,1.349164, Tracked,0.5174124,0.01844311,1.466031, Tracked,0.5643815,-0.1960018,1.430225, Tracked,0.454832,-0.3139628,1.217614, Inferred,0.4183156,-0.3532832,1.150452, 00:00:00.472
Tracked,0.3170463,0.2951712,1.401598, Tracked,0.3504126,0.107761,1.491638, Tracked,0.1710547,0.03655155,1.539674, Tracked,0.09523128,-0.1612755,1.52316, Tracked,0.05029806,-0.3123594,1.404839, Inferred,0.04403022,-0.3437082,1.350977, Tracked,0.5174108,0.01844225,1.46603, Tracked,0.5642963,-0.1961291,1.430094, Tracked,0.4547075,-0.3139223,1.217408, Inferred,0.4181779,-0.3531868,1.150221, 00:00:00.504
Tracked,0.3170712,0.2952681,1.401631, Tracked,0.3504296,0.1077831,1.491662, Tracked,0.1710359,0.03659239,1.539691, Tracked,0.1006742,-0.1630508,1.52108, Tracked,0.04506546,-0.3125521,1.405585, Inferred,0.03866212,-0.3439248,1.351755, Tracked,0.5174255,0.01846682,1.466046, Tracked,0.5643008,-0.1961833,1.430068, Tracked,0.4546655,-0.3138978,1.217362, Inferred,0.4181205,-0.3531359,1.150168, 00:00:00.542
Tracked,0.3170646,0.2953092,1.40164, Tracked,0.3504312,0.1077833,1.491664, Tracked,0.1710456,0.03658339,1.539687, Tracked,0.1023211,-0.164051,1.520274, Tracked,0.04320808,-0.3127388,1.405546, Inferred,0.03676221,-0.3441062,1.351722, Tracked,0.5174189,0.01845768,1.466043, Tracked,0.5643041,-0.1962213,1.429969, Tracked,0.4546314,-0.3138924,1.217259, Inferred,0.4180739,-0.3531161,1.150064, 00:00:00.573
Tracked,0.3170657,0.2953517,1.401644, Tracked,0.3504305,0.1077965,1.491681, Tracked,0.1710392,0.03658032,1.53969, Tracked,0.1003207,-0.1634744,1.521073, Tracked,0.04511661,-0.3127564,1.405053, Inferred,0.0385716,-0.3444532,1.351436, Tracked,0.5173948,0.01845506,1.466042, Tracked,0.5642557,-0.1962892,1.429908, Tracked,0.4545861,-0.3138801,1.217151, Inferred,0.4180296,-0.3530771,1.149941, 00:00:00.605
Tracked,0.3170665,0.295366,1.401653, Tracked,0.3503939,0.1078209,1.491689, Tracked,0.1710384,0.03658003,1.539691, Tracked,0.09917085,-0.1633203,1.521471, Tracked,0.04633832,-0.3129315,1.404702, Inferred,0.0395657,-0.3447921,1.351213, Tracked,0.5173928,0.01844908,1.466039, Tracked,0.5642276,-0.1963536,1.429882, Tracked,0.454551,-0.3138795,1.217092, Inferred,0.4179921,-0.3530547,1.149871, 00:00:00.641
Tracked,0.3170626,0.295394,1.401698, Tracked,0.3503329,0.1078134,1.491658, Tracked,0.1710344,0.03660094,1.539703, Tracked,0.09851894,-0.1633881,1.521621, Tracked,0.04683804,-0.3131326,1.404473, Inferred,0.0400745,-0.3449713,1.350973, Tracked,0.5173783,0.01845361,1.466032, Tracked,0.5641831,-0.1963896,1.429829, Tracked,0.4545253,-0.3138886,1.217014, Inferred,0.4179727,-0.3530549,1.149785, 00:00:00.672
Tracked,0.3170531,0.2954088,1.40171, Tracked,0.3503326,0.1078196,1.491655, Tracked,0.1710316,0.03661783,1.539712, Tracked,0.1011291,-0.1646697,1.520274, Tracked,0.04384842,-0.3134732,1.404691, Inferred,0.03699211,-0.345177,1.351126, Tracked,0.5173742,0.01845396,1.46603, Tracked,0.5641104,-0.1965094,1.429729, Tracked,0.454456,-0.3139501,1.216879, Inferred,0.4179046,-0.3530969,1.149638, 00:00:00.705
Tracked,0.3170482,0.295396,1.401696, Tracked,0.3503219,0.1078144,1.491676, Tracked,0.1710384,0.03664647,1.539728, Tracked,0.1024924,-0.1646233,1.519954, Tracked,0.04271584,-0.3130848,1.405288, Inferred,0.03590145,-0.3447981,1.351726, Tracked,0.5173689,0.01844489,1.466031, Tracked,0.5640627,-0.196594,1.429652, Tracked,0.4543869,-0.3139876,1.216788, Inferred,0.4178283,-0.3531187,1.149541, 00:00:00.741
Tracked,0.3170689,0.2954485,1.401709, Tracked,0.3503225,0.1078213,1.491682, Tracked,0.1710632,0.03672463,1.539748, Tracked,0.1034975,-0.1648118,1.519673, Tracked,0.04177764,-0.3128691,1.405571, Inferred,0.03498618,-0.3445829,1.352009, Tracked,0.5173578,0.01843662,1.466037, Tracked,0.5640665,-0.1965954,1.42965, Tracked,0.4543158,-0.3139607,1.216811, Inferred,0.4177322,-0.3530825,1.149573, 00:00:00.775
Tracked,0.3170915,0.2955398,1.401744, Tracked,0.3503782,0.1078668,1.491675, Tracked,0.1710561,0.03679071,1.539761, Tracked,0.1045291,-0.1652115,1.519367, Tracked,0.04070451,-0.3126902,1.40572, Inferred,0.03389899,-0.3444368,1.352182, Tracked,0.5173294,0.01844648,1.466032, Tracked,0.5640686,-0.1965919,1.429654, Tracked,0.4543372,-0.313947,1.2168, Inferred,0.4177601,-0.3530653,1.149557, 00:00:00.805
Tracked,0.31711,0.2956056,1.401788, Tracked,0.3503862,0.1078726,1.491673, Tracked,0.1710629,0.03680635,1.539762, Tracked,0.1014258,-0.1642072,1.520541, Tracked,0.04390042,-0.3129859,1.405062, Inferred,0.03712462,-0.344707,1.351508, Tracked,0.5173124,0.0184465,1.466032, Tracked,0.5640446,-0.1965543,1.429768, Tracked,0.4543892,-0.3138667,1.216848, Inferred,0.4178374,-0.3529708,1.149583, 00:00:00.846
Tracked,0.3171079,0.295617,1.401793, Tracked,0.3503862,0.1078756,1.491668, Tracked,0.171067,0.03682292,1.53977, Tracked,0.1025965,-0.1646542,1.519846, Tracked,0.04257749,-0.3131191,1.405331, Inferred,0.03582162,-0.344651,1.351665, Tracked,0.5173066,0.01844303,1.466039, Tracked,0.5641128,-0.1964704,1.429991, Tracked,0.4548166,-0.315607,1.217948, Inferred,0.4183844,-0.3553192,1.150976, 00:00:00.877
Tracked,0.3171293,0.2956118,1.401796, Tracked,0.3503913,0.1078812,1.491664, Tracked,0.171072,0.03687431,1.539783, Tracked,0.1005021,-0.1640565,1.520848, Tracked,0.04474086,-0.3130808,1.404766, Inferred,0.03800786,-0.344646,1.35112, Tracked,0.5172935,0.01838829,1.466036, Tracked,0.5640566,-0.1965369,1.429924, Tracked,0.4547408,-0.3154361,1.217753, Inferred,0.4183021,-0.3550692,1.150738, 00:00:00.905
Tracked,0.3171259,0.2956291,1.401815, Tracked,0.3504229,0.1079307,1.491685, Tracked,0.1710868,0.03694142,1.539828, Tracked,0.1021443,-0.1648235,1.519954, Tracked,0.0428207,-0.3132558,1.404993, Inferred,0.03612662,-0.3448359,1.351353, Tracked,0.5172923,0.01838309,1.466041, Tracked,0.5640144,-0.1965752,1.429899, Tracked,0.4551155,-0.3162751,1.217978, Inferred,0.4188159,-0.3561752,1.151046, 00:00:00.940
Tracked,0.3171284,0.2956409,1.401822, Tracked,0.3504564,0.1079608,1.491707, Tracked,0.1710984,0.03698125,1.539846, Tracked,0.1001189,-0.1641669,1.521013, Tracked,0.04513291,-0.3131431,1.404456, Inferred,0.03834019,-0.3445022,1.350702, Tracked,0.5172775,0.01837764,1.466043, Tracked,0.5641393,-0.1963251,1.430222, Tracked,0.4550467,-0.315383,1.218025, Inferred,0.4186825,-0.3550689,1.151001, 00:00:00.973
